id,text,isAd,isMuted,webVideoUrl,diggCount,shareCount,playCount,collectCount,commentCount,isSlideshow,isPinned,isSponsored,input,year,month,day,hour,minute,second
7339772223978327329,Build A Cupcake Bouquet It’s so satisfying watching the bouquets come together 😍  Learn how with me over on my website www.nicolajanecupcakebouquets.co.uk #cupcakebouquet #cucake #cupcakeoftheday #floralcupcakes #cupcakedecorating #cupcakepiping #cupcakedesign #cupcakelover #flowersyoucaneat #buttercreamflowers #pipingskills #cupcakeartist #decoratingcupcakes #buttercreampiping #prettycupcakes #giftcake #buttercreamart #floralcake #learnonline #learnwithme #cupcaketutorials ,False,False,https://www.tiktok.com/@nicolajanecupcakes/video/7339772223978327329,828,51,80700,319,4,False,False,False,cupcakeslovers,2024,02,26,00,05,37
7424753789401353504,Sweet hacks for sweet treats! 🧁💖 #desert #cupcake #creamy #baking #cream #chocolate#chocolaterecipe #chocolatelover,False,False,https://www.tiktok.com/@so_yyummy/video/7424753789401353504,58,8,749,1,0,False,False,False,cupcakeslovers,2024,10,14,09,00,00
7424754004476824864,Sweet hacks for sweet treats! 🧁💖 #desert #cupcake #creamy #baking #cream #chocolate#chocolaterecipe #chocolatelover,False,False,https://www.tiktok.com/@so_yyummy/video/7424754004476824864,29,0,681,0,0,False,False,False,cupcakeslovers,2024,10,14,13,00,00
7425831499422911775,Which one would you grab first?! 🧁 #TemisCakery #SanAntonioBakery #BakeryLove #CustomCakesSanAntonio #CakeDesign #BakersOfInstagram #BakingJoy #SweetTreats #DessertLovers #CakeGoals #CupcakeArt #SanAntonioCakes #BakingInspiration #CakeShopSanAntonio #BakingWithLove #CakeDecorating #BirthdayCakes #BakingCommunity #SugarArt #SanAntonioSweets,False,False,https://www.tiktok.com/@temicakery/video/7425831499422911775,9,0,690,0,1,False,False,False,cupcakeslovers,2024,10,14,21,59,06
7425790886555946273,"If everyone is in love with Dubai Chocolate, I bet you will love our Dubai Chocolate Cupcakes. 🍫  Moised chocolate cupckes filled with homemade pistachio spread mixed with kathaif and tahini and toped with pistachio butter cream. U N R E A L !  #dubai #dubai🇦🇪 #dubaichocolate #dubaichocolates #dubaichocolatelovers #dubaichocolatecake #dubaichocolatecupcake #dubaichocolatecupcakes #chocolate #chocolatecupcakes #cupcakes #pistachio #buttercream #gold #glitter #bakesdwithlove #lovebaking #thyrasbakery",False,False,https://www.tiktok.com/@thyras.bakery/video/7425790886555946273,8,0,737,0,3,False,False,False,cupcakeslovers,2024,10,14,19,21,32
7425789145898847520,"If everyone is in love with Dubai Chocolate, I bet you will love our Dubai Chocolate Cupcakes. 🍫  Moised chocolate cupckes filled with homemade pistachio spread mixed with kathaif and tahini and toped with pistachio butter cream. U N R E A L !  #dubai #dubai🇦🇪 #dubaichocolate #dubaichocolates #dubaichocolatelovers #dubaichocolatecake #dubaichocolatecupcake #dubaichocolatecupcakes #chocolate #chocolatecupcakes #cupcakes #pistachio #buttercream #gold #glitter #bakesdwithlove #lovebaking #thyrasbakery ",False,False,https://www.tiktok.com/@thyras.bakery/video/7425789145898847520,6,0,1870,2,0,False,False,False,cupcakeslovers,2024,10,14,19,15,16
7425607328218680583,𝐏𝐚𝐧𝐝𝐚 𝐁𝐚𝐛𝐲 𝐓𝐡𝐞𝐦𝐞 𝐂𝐚𝐤𝐞...🐼🫶🏻🤍 • • • #fyp #cakesrilanka🇱🇰 #cakecombo #cakelovers #cakemakersrilanka #customizedbirthdaycakesrilanka #bentocakesrilanka #browniemakersrilanka #cupcakessrilanka #chocotubsrilanka #brownielovers #chocotublovers #cakelovers #cakecombo #cakesrilanka🇱🇰 #cupcakelovers ,False,False,https://www.tiktok.com/@cake__combo/video/7425607328218680583,30,0,769,0,0,False,False,False,cupcakeslovers,2024,10,14,07,28,57
7425575602893344008,Cupcake giveaway away at 4000 followers? How many winners? #vanilla #cupcakes #chocolate #chocolatelover #bake #baker #lifeinkorea #fyp #housewifelife #expatinkorea #frosting #southafricatiktok ,False,False,https://www.tiktok.com/@megan.yun/video/7425575602893344008,51,0,538,3,14,False,False,False,cupcakeslovers,2024,10,14,05,25,50
7418002606926171398,Who loves a really moist 🫠chocolate cupcake 🧁  #bakedbythelake #ChocolateCupcakes #homebakers #cottagefoodbaker #chocolatelover #chocolaterecipe #buttercreamfrosting #canadianbaker #kenroa #lotw ,False,False,https://www.tiktok.com/@deannasuke/video/7418002606926171398,6045,596,155000,3104,439,False,False,False,cupcakeslovers,2024,09,23,19,38,54
7425880120004594976,Goodmorning my cupcake lovers🧁##AmAsAr_kitchen,False,False,https://www.tiktok.com/@amasar_kitchen/video/7425880120004594976,10,0,692,0,1,False,False,False,cupcakeslovers,2024,10,15,01,07,42
7424753105050307873,Sweet hacks for sweet treats! 🧁💖 #desert #cupcake #creamy #baking #cream #chocolate#chocolaterecipe #chocolatelover,False,False,https://www.tiktok.com/@so_yyummy/video/7424753105050307873,9,0,721,0,0,False,False,False,cupcakeslovers,2024,10,14,06,00,00
7425569445701045536,cupcakes #cupcake #brownies #chocolate #foodtiktokfood #baking #sweetlover #cream #foodie #foryou #easyrecipe #foryoupage #muffins #bakingrecipe @Zimal fatima @ABBASI ,False,False,https://www.tiktok.com/@zimalfoodvlog1/video/7425569445701045536,9,2,340,0,0,False,False,False,cupcakeslovers,2024,10,14,05,02,10
7399223590429707553,SKAY’s Nutella Stuffed CUPCAKES #cupcakes  #vanillasponge  #spongecake #nutella  #sweetooth  #sweettreats  #baking  #bakingtiktok  #selftaught  #bakingrecipe  #bakingathome  #chocolate  #sprinkles  #desserts #nutellacupcakes #cupcakestiktok #bakingfromscratch  #foodphotography #cupcakedecorating #explorepage #fyp #madewithlove #foodlover #blackgirlmagic #treats  #buttercream #foodvideo #foodblogger ,False,False,https://www.tiktok.com/@skaykitchen/video/7399223590429707553,12,0,797,2,0,False,False,False,cupcakeslovers,2024,08,04,05,06,40
